Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
4205,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,7860 - 44400,110 - 900,11000,96,344500
4206,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,7960 - 55920,127 - 1034,5500,103,253000
4207,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,7250 - 45190,130 - 937,250,76,160800
4208,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,8300 - 44810,131 - 985,750,83,156100
4209,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,7200 - 46340,127 - 990,1500,82,171500
4210,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,8800 - 54060,116 - 884,550,96,163000
4211,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,6480 - 44200,129 - 895,1100,93,172100
4212,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,7720 - 44630,128 - 998,3000,92,191400
4213,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,8100 - 42970,114 - 968,5500,82,235100
4214,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,7870 - 53760,127 - 934,2200,89,197200
4215,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,9080 - 45420,120 - 944,15000,74,417900
4216,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,8500 - 46700,110 - 998,4000,105,229500
4217,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,9100 - 39270,118 - 875,1500,103,169900
4218,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,8030 - 44790,128 - 1042,180,86,153400
4219,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,7160 - 55160,110 - 1018,750,101,172200
4220,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,8800 - 55820,117 - 982,3000,92,196500
4221,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,8830 - 48820,112 - 883,2200,88,189100
4222,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,6790 - 42950,126 - 953,4000,104,221500
4223,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,7540 - 52980,110 - 1051,550,81,163900
4224,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,8790 - 42320,114 - 980,2200,80,181200
4225,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,8810 - 47400,109 - 882,370,83,161800
4226,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,7230 - 50830,112 - 878,2200,103,194800
4227,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,7100 - 42290,128 - 871,1500,83,179500
4228,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,6930 - 55840,112 - 867,180,79,146000
4229,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,6830 - 52360,110 - 984,750,72,169000
4230,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,7630 - 39710,126 - 977,11000,88,347700
4231,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,7430 - 53460,123 - 870,11000,87,353100
4232,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,7480 - 40860,120 - 930,1100,105,158200
4233,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,8140 - 55570,118 - 1001,750,82,168500
4234,УВО,УВО 30-160-100-2,УВО 30-160-100,1000,8190 - 41220,112 - 1041,5500,104,242200
4235,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,8180 - 40570,123 - 964,15000,104,419500
4236,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,8070 - 51940,126 - 873,15000,100,411600
4237,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,8180 - 50360,130 - 1043,1100,84,163200
4238,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,9330 - 46990,116 - 903,1100,91,164500
4239,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,8720 - 41670,113 - 946,550,104,162200
4240,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,6960 - 42340,127 - 907,11000,95,351200
4241,УВО,УВО 30-160-100-5,УВО 30-160-100,1000,8120 - 47800,109 - 906,11000,78,357000
4242,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,7300 - 41020,114 - 872,15000,77,410200
4243,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,9250 - 54620,114 - 1010,15000,103,411900
4244,УВО,УВО 30-160-100-1,УВО 30-160-100,1000,6490 - 39520,112 - 989,4000,87,225900
4245,УВО,УВО 30-160-100-4,УВО 30-160-100,1000,9100 - 48430,112 - 875,2200,97,189600
4246,УВО,УВО 30-160-100-3,УВО 30-160-100,1000,7150 - 56700,120 - 952,3000,86,207100
4247,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11410 - 65430,144 - 1252,180,77,188600
4248,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8740 - 49260,162 - 1294,11000,96,378700
4249,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10670 - 57710,145 - 1125,2200,92,212300
4250,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9900 - 52430,153 - 1243,1500,73,204900
4251,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11100 - 56620,142 - 1281,11000,89,364700
4252,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9340 - 49830,135 - 1119,370,105,181900
4253,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10270 - 56520,155 - 1218,2200,88,212700
4254,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11150 - 61710,150 - 1159,1100,77,191900
4255,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10420 - 51750,157 - 1086,7500,77,323900
4256,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10490 - 49660,161 - 1181,750,99,193600
4257,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8420 - 50740,155 - 1298,750,104,186900
4258,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11970 - 69020,141 - 1275,370,91,193500
4259,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,11910 - 62740,136 - 1257,250,77,183500
4260,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11300 - 62280,147 - 1095,3000,79,225000
4261,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,9880 - 51100,147 - 1305,180,88,179300
4262,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9300 - 71810,159 - 1198,11000,100,387800
4263,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10950 - 49210,145 - 1186,370,79,187000
4264,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10950 - 64240,137 - 1245,2200,84,212000
4265,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,8140 - 68850,149 - 1226,7500,105,308500
4266,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11810 - 60610,152 - 1141,3000,90,220600
4267,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11930 - 51770,135 - 1291,11000,76,375400
4268,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8370 - 48190,135 - 1231,11000,104,374700
4269,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,9650 - 48460,141 - 1121,15000,103,443900
4270,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,11620 - 58730,147 - 1272,1500,73,199800
4271,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9100 - 64800,155 - 1291,1500,90,205600
4272,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11920 - 68030,139 - 1102,750,84,180500
4273,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8600 - 59470,138 - 1204,1100,90,199700
4274,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11710 - 71920,138 - 1163,5500,74,273800
4275,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8700 - 71080,152 - 1226,550,70,182900
4276,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11920 - 61710,135 - 1268,11000,104,375600
4277,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10500 - 62910,153 - 1224,250,81,174600
4278,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,8290 - 57100,144 - 1117,750,91,185200
4279,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,8740 - 49560,153 - 1269,250,101,192200
4280,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9470 - 51200,139 - 1193,250,91,174400
4281,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9180 - 61940,162 - 1313,370,93,188700
4282,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10080 - 57520,145 - 1212,11000,96,372900
4283,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9090 - 53190,136 - 1205,750,70,188300
4284,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9010 - 71600,150 - 1159,3000,86,242400
4285,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10640 - 51510,137 - 1080,250,102,182000
4286,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11560 - 48140,147 - 1198,11000,76,380400
4287,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11720 - 52930,156 - 1149,180,74,177800
4288,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11710 - 67690,136 - 1216,11000,87,387700
4289,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10560 - 55830,163 - 1291,2200,100,210900
4290,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10900 - 68250,163 - 1133,250,100,178900
4291,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10250 - 58710,138 - 1104,2200,102,217300
4292,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11390 - 71420,143 - 1245,550,97,181100
4293,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10140 - 61920,158 - 1208,5500,90,281500
4294,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,11100 - 52410,154 - 1151,15000,97,451300
4295,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9040 - 67670,141 - 1306,250,93,192700
4296,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,8240 - 60270,146 - 1230,2200,102,211100
4297,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,8160 - 48170,149 - 1138,750,100,195900
4298,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10150 - 69760,148 - 1241,750,87,184200
4299,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11790 - 48840,142 - 1108,3000,103,238300
4300,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11650 - 65740,159 - 1281,180,100,181000
4301,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,9940 - 53040,152 - 1100,3000,97,243200
4302,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10590 - 50120,156 - 1301,550,96,188700
4303,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10550 - 57860,143 - 1192,1500,76,198100
4304,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8840 - 68140,146 - 1161,1100,92,193200
4305,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11200 - 62280,147 - 1080,11000,86,378500
4306,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10860 - 59060,153 - 1295,4000,85,261500
4307,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,9200 - 71320,156 - 1155,370,84,180100
4308,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11870 - 70840,139 - 1104,1100,89,187100
4309,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,8910 - 65740,164 - 1276,15000,102,454300
4310,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10520 - 64230,164 - 1135,3000,86,232700
4311,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11870 - 58390,147 - 1176,1500,70,214900
4312,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8580 - 50220,159 - 1170,250,81,191600
4313,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,8290 - 60990,156 - 1210,5500,80,272700
4314,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10790 - 65510,135 - 1280,750,101,197200
4315,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,10630 - 51960,137 - 1300,180,72,171400
4316,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,11210 - 64310,144 - 1096,5500,80,265700
4317,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,9830 - 49730,163 - 1230,15000,85,436600
4318,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11590 - 69220,146 - 1147,370,96,176300
4319,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,9150 - 56230,137 - 1312,4000,104,245800
4320,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8180 - 63640,145 - 1130,11000,85,373000
4321,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9100 - 64230,144 - 1105,250,85,186500
4322,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,9710 - 60570,154 - 1314,370,104,193500
4323,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10550 - 71550,159 - 1090,5500,86,275400
4324,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10580 - 55800,138 - 1129,370,98,191100
4325,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,9860 - 54360,159 - 1302,4000,81,239100
4326,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9930 - 71190,141 - 1084,3000,84,228800
4327,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,8920 - 53040,135 - 1243,15000,80,451700
4328,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,8870 - 55710,156 - 1217,7500,86,306400
4329,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11380 - 48530,152 - 1275,15000,97,448300
4330,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11950 - 51600,137 - 1297,2200,82,220800
4331,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10860 - 69920,158 - 1141,750,86,198800
4332,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9130 - 61600,158 - 1107,15000,85,443000
4333,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,8360 - 51180,149 - 1299,11000,97,365700
4334,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,9970 - 65350,149 - 1267,750,87,181000
4335,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,11470 - 60820,139 - 1117,5500,76,285300
4336,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10300 - 48920,157 - 1169,3000,73,229600
4337,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9300 - 67570,151 - 1152,5500,84,278600
4338,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8400 - 52760,158 - 1154,1100,93,208500
4339,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10040 - 51840,142 - 1081,750,77,179800
4340,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8420 - 68940,138 - 1150,1500,84,208200
4341,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9200 - 65330,141 - 1129,7500,82,320600
4342,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,8250 - 56400,142 - 1230,3000,103,241000
4343,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11510 - 66960,164 - 1251,1100,97,209400
4344,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,9540 - 64530,149 - 1296,5500,101,268400
4345,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,11910 - 64130,138 - 1226,250,101,192100
4346,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10310 - 63780,163 - 1213,3000,100,236900
4347,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10540 - 57160,135 - 1155,4000,97,260100
4348,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8240 - 66310,163 - 1172,750,85,199700
4349,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10210 - 65410,147 - 1101,550,101,177700
4350,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10660 - 60180,152 - 1304,1100,85,206800
4351,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11370 - 54010,136 - 1141,5500,87,270200
4352,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,8520 - 58710,156 - 1265,11000,75,374000
4353,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,8380 - 70120,156 - 1136,3000,92,240700
4354,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9100 - 66560,154 - 1113,15000,71,455400
4355,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,8310 - 71910,146 - 1184,750,85,192700
4356,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11030 - 50820,145 - 1291,1100,73,197200
4357,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,10200 - 63320,142 - 1257,370,72,190800
4358,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,10230 - 66150,144 - 1105,250,72,178100
4359,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10910 - 68730,148 - 1209,1500,88,201300
4360,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,8940 - 53720,160 - 1207,750,81,182200
4361,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10750 - 62390,149 - 1127,2200,81,221300
4362,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,9390 - 54650,148 - 1309,5500,104,282900
4363,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9560 - 70230,149 - 1294,11000,79,364400
4364,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,11500 - 48470,154 - 1309,1500,85,196900
4365,УВО,УВО 30-160-125-4,УВО 30-160-125,1250,10680 - 57340,161 - 1095,4000,96,257100
4366,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,9860 - 54430,142 - 1195,2200,84,206500
4367,УВО,УВО 30-160-125-3,УВО 30-160-125,1250,10370 - 56600,141 - 1316,180,78,186400
4368,УВО,УВО 30-160-125-5,УВО 30-160-125,1250,11250 - 55330,144 - 1278,7500,97,314300
4369,УВО,УВО 30-160-125-1,УВО 30-160-125,1250,11770 - 56900,153 - 1265,7500,76,313600
4370,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9950 - 56400,149 - 1257,250,71,180800
4371,УВО,УВО 30-160-125-2,УВО 30-160-125,1250,9880 - 55060,164 - 1223,15000,101,454800
4372,Ц,Ц 30-160-016-2,Ц 30-160-016,160,130 - 3520,216 - 1151,370,101,38400
4373,Ц,Ц 30-160-016-5,Ц 30-160-016,160,130 - 3000,237 - 1293,1500,93,53400
4374,Ц,Ц 30-160-016-2,Ц 30-160-016,160,120 - 2770,251 - 1280,250,88,30000
4375,Ц,Ц 30-160-016-1,Ц 30-160-016,160,110 - 2790,223 - 1279,5500,73,106700
4376,Ц,Ц 30-160-016-2,Ц 30-160-016,160,90 - 3570,237 - 1103,15000,74,220200
4377,Ц,Ц 30-160-016-4,Ц 30-160-016,160,90 - 3170,231 - 1231,3000,93,75000
4378,Ц,Ц 30-160-016-5,Ц 30-160-016,160,110 - 3460,226 - 1132,11000,85,164800
4379,Ц,Ц 30-160-016-3,Ц 30-160-016,160,90 - 3630,242 - 1111,180,96,37800
4380,Ц,Ц 30-160-016-5,Ц 30-160-016,160,120 - 3090,255 - 1120,11000,87,174200
4381,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3100,263 - 1310,5500,70,102500
4382,Ц,Ц 30-160-016-4,Ц 30-160-016,160,120 - 3230,233 - 1148,2200,71,61500
4383,Ц,Ц 30-160-016-1,Ц 30-160-016,160,110 - 3120,231 - 1252,750,96,37500
4384,Ц,Ц 30-160-016-4,Ц 30-160-016,160,100 - 3220,232 - 1126,550,70,43200
4385,Ц,Ц 30-160-016-5,Ц 30-160-016,160,90 - 2960,220 - 1095,1500,98,44700
4386,Ц,Ц 30-160-016-3,Ц 30-160-016,160,110 - 2900,223 - 1194,250,91,40300
4387,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3550,251 - 1195,7500,97,121800
4388,Ц,Ц 30-160-016-5,Ц 30-160-016,160,110 - 3600,226 - 1201,750,89,35700
4389,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3780,216 - 1082,1500,102,59800
4390,Ц,Ц 30-160-016-4,Ц 30-160-016,160,140 - 2580,243 - 1145,3000,101,68200
4391,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 2660,238 - 1203,5500,84,94500
4392,Ц,Ц 30-160-016-1,Ц 30-160-016,160,110 - 3530,230 - 1160,3000,78,68500
4393,Ц,Ц 30-160-016-1,Ц 30-160-016,160,120 - 3250,221 - 1289,180,96,35000
4394,Ц,Ц 30-160-016-2,Ц 30-160-016,160,90 - 3610,223 - 1090,3000,89,68900
4395,Ц,Ц 30-160-016-5,Ц 30-160-016,160,110 - 3250,252 - 1268,180,72,42200
4396,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3620,216 - 1315,11000,98,167800
4397,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3420,224 - 1283,370,75,30400
4398,Ц,Ц 30-160-016-4,Ц 30-160-016,160,110 - 3480,254 - 1175,250,88,32500
4399,Ц,Ц 30-160-016-4,Ц 30-160-016,160,140 - 3060,237 - 1108,15000,100,214500
4400,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3200,255 - 1245,550,99,38800
4401,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 3540,261 - 1264,750,91,47300
4402,Ц,Ц 30-160-016-4,Ц 30-160-016,160,120 - 2650,226 - 1162,15000,82,227400
4403,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3540,241 - 1265,250,89,35900
4404,Ц,Ц 30-160-016-5,Ц 30-160-016,160,100 - 3620,250 - 1220,370,105,30500
4405,Ц,Ц 30-160-016-1,Ц 30-160-016,160,110 - 2690,240 - 1312,3000,101,72500
4406,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3590,240 - 1213,15000,77,220700
4407,Ц,Ц 30-160-016-4,Ц 30-160-016,160,110 - 3070,229 - 1145,1100,78,43800
4408,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 3400,242 - 1112,11000,89,175400
4409,Ц,Ц 30-160-016-4,Ц 30-160-016,160,100 - 2840,217 - 1120,4000,92,88300
4410,Ц,Ц 30-160-016-1,Ц 30-160-016,160,100 - 3270,232 - 1276,15000,84,221400
4411,Ц,Ц 30-160-016-1,Ц 30-160-016,160,90 - 3420,223 - 1175,15000,94,229600
4412,Ц,Ц 30-160-016-3,Ц 30-160-016,160,100 - 2960,241 - 1089,4000,97,78100
4413,Ц,Ц 30-160-016-1,Ц 30-160-016,160,100 - 3000,251 - 1243,1100,73,39900
4414,Ц,Ц 30-160-016-4,Ц 30-160-016,160,140 - 3150,224 - 1088,180,104,31600
4415,Ц,Ц 30-160-016-3,Ц 30-160-016,160,110 - 2920,220 - 1129,4000,71,90000
4416,Ц,Ц 30-160-016-4,Ц 30-160-016,160,100 - 3130,230 - 1215,5500,82,105800
4417,Ц,Ц 30-160-016-4,Ц 30-160-016,160,110 - 3770,217 - 1134,4000,86,86000
4418,Ц,Ц 30-160-016-5,Ц 30-160-016,160,130 - 3240,238 - 1093,4000,104,76300
4419,Ц,Ц 30-160-016-2,Ц 30-160-016,160,110 - 3480,239 - 1210,3000,72,68600
4420,Ц,Ц 30-160-016-3,Ц 30-160-016,160,100 - 3540,253 - 1217,15000,93,218300
4421,Ц,Ц 30-160-016-4,Ц 30-160-016,160,120 - 3250,250 - 1192,5500,92,97200
4422,Ц,Ц 30-160-016-1,Ц 30-160-016,160,120 - 3720,242 - 1169,250,95,29800
4423,Ц,Ц 30-160-016-1,Ц 30-160-016,160,140 - 2990,259 - 1205,2200,91,52800
4424,Ц,Ц 30-160-016-1,Ц 30-160-016,160,120 - 2700,240 - 1193,5500,105,99000
4425,Ц,Ц 30-160-016-5,Ц 30-160-016,160,140 - 3600,221 - 1210,15000,86,215400
4426,Ц,Ц 30-160-016-5,Ц 30-160-016,160,100 - 3110,248 - 1215,7500,101,134100
4427,Ц,Ц 30-160-016-4,Ц 30-160-016,160,90 - 3020,239 - 1118,550,99,44900
4428,Ц,Ц 30-160-016-4,Ц 30-160-016,160,130 - 3120,253 - 1294,3000,99,65900
4429,Ц,Ц 30-160-016-3,Ц 30-160-016,160,120 - 3270,235 - 1247,1100,98,54200
4430,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3700,242 - 1081,4000,98,81500
4431,Ц,Ц 30-160-016-5,Ц 30-160-016,160,120 - 3340,229 - 1086,750,88,38900
4432,Ц,Ц 30-160-016-2,Ц 30-160-016,160,120 - 2840,217 - 1305,7500,87,121200
4433,Ц,Ц 30-160-016-3,Ц 30-160-016,160,90 - 3320,230 - 1216,7500,96,133000
4434,Ц,Ц 30-160-016-2,Ц 30-160-016,160,110 - 3710,250 - 1152,550,84,35900
4435,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 2930,234 - 1238,5500,103,96300
4436,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 3060,220 - 1083,250,104,36400
4437,Ц,Ц 30-160-016-3,Ц 30-160-016,160,90 - 2680,243 - 1119,180,94,36600
4438,Ц,Ц 30-160-016-3,Ц 30-160-016,160,110 - 3470,237 - 1134,7500,99,129000
4439,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3590,235 - 1141,15000,95,215000
4440,Ц,Ц 30-160-016-2,Ц 30-160-016,160,110 - 2750,261 - 1215,2200,99,60000
4441,Ц,Ц 30-160-016-4,Ц 30-160-016,160,100 - 3120,220 - 1311,15000,87,222200
4442,Ц,Ц 30-160-016-1,Ц 30-160-016,160,100 - 3430,260 - 1238,5500,85,105800
4443,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 3410,248 - 1192,11000,95,175400
4444,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 3680,231 - 1207,370,82,32500
4445,Ц,Ц 30-160-016-1,Ц 30-160-016,160,100 - 3150,236 - 1154,250,95,31300
4446,Ц,Ц 30-160-016-3,Ц 30-160-016,160,120 - 2980,256 - 1193,3000,103,65600
4447,Ц,Ц 30-160-016-1,Ц 30-160-016,160,100 - 3130,260 - 1119,2200,95,54500
4448,Ц,Ц 30-160-016-3,Ц 30-160-016,160,120 - 3550,246 - 1174,370,73,33600
4449,Ц,Ц 30-160-016-4,Ц 30-160-016,160,120 - 2870,218 - 1145,7500,98,125700
4450,Ц,Ц 30-160-016-1,Ц 30-160-016,160,130 - 3500,259 - 1178,250,77,30100
4451,Ц,Ц 30-160-016-4,Ц 30-160-016,160,120 - 3490,230 - 1272,250,84,37100
4452,Ц,Ц 30-160-016-1,Ц 30-160-016,160,110 - 2850,260 - 1233,7500,83,128100
4453,Ц,Ц 30-160-016-1,Ц 30-160-016,160,90 - 2630,225 - 1177,750,105,44300
4454,Ц,Ц 30-160-016-3,Ц 30-160-016,160,130 - 2630,231 - 1082,3000,81,73600
4455,Ц,Ц 30-160-016-5,Ц 30-160-016,160,130 - 3300,256 - 1254,7500,103,126300
4456,Ц,Ц 30-160-016-1,Ц 30-160-016,160,120 - 2800,216 - 1110,15000,95,217500
4457,Ц,Ц 30-160-016-2,Ц 30-160-016,160,130 - 3830,244 - 1215,7500,80,132900
4458,Ц,Ц 30-160-016-5,Ц 30-160-016,160,120 - 2560,231 - 1135,2200,100,63500
4459,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3480,253 - 1220,7500,70,129300
4460,Ц,Ц 30-160-016-3,Ц 30-160-016,160,90 - 2610,235 - 1297,3000,91,77400
4461,Ц,Ц 30-160-016-2,Ц 30-160-016,160,100 - 3340,235 - 1307,15000,86,229300
4462,Ц,Ц 30-160-016-5,Ц 30-160-016,160,140 - 3830,229 - 1305,7500,84,134700
